datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1998-01-02,0.0,100000.0,0.0,100000.0,,,
2000-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
